col_id,id,likes_count,from_id,from_name,message,created_time,type,link,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count,datetime,month,like_button,positive_reaction
1,184377348315163_1277396002346620,81,184e12,Ford UK,We’ve found the perfect way to send your little one off to sleep…,2017-04-10T13:51:28Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1277395579013329/?type=3,39,24,6,0,1,0,0,2017-04-10T13:51:28Z,2017-04,88,7
2,184377348315163_1277679945651559,1060,184e12,Ford UK,NA,2017-04-10T20:24:05Z,video,https://www.facebook.com/mashable/videos/10155123810319705/,469,1,76,9,78,1,0,2017-04-10T20:24:05Z,2017-04,1224,163
3,184377348315163_1280564808696406,27,184e12,Ford UK,Can't get to Silverstone this weekend? Fear not! Here's our guide on how to follow the action from your armchair...,2017-04-13T12:18:50Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1280564808696406/?type=3,1,2,0,0,0,0,0,2017-04-13T12:18:50Z,2017-04,27,0
4,184377348315163_1285517188201168,13,184e12,Ford UK,NA,2017-04-18T14:56:43Z,link,http://www.dailymail.co.uk/~/article-4418390/index.html,4,6,0,0,0,0,0,2017-04-18T14:56:43Z,2017-04,13,0
5,184377348315163_1285550244864529,147,184e12,Ford UK,We've dealt the first blow in the battle for the 2017 FIA WEC title: Harry Tincknell was first past the flag in the #67 Ford GT at Silverstone last weekend,2017-04-18T15:37:52Z,video,https://www.facebook.com/forduk/videos/1285550244864529/,7,27,5,0,1,0,0,2017-04-18T15:37:52Z,2017-04,153,6
6,184377348315163_1287319668020920,65,184e12,Ford UK,NA,2017-04-20T10:31:34Z,link,http://www.alphr.com/cars/1005774/the-ford-gt-is-ready-to-dominate-the-2017-wec-championship,3,8,1,0,1,0,0,2017-04-20T10:31:34Z,2017-04,67,2
7,184377348315163_1288607041225516,134,184e12,Ford UK,"Some of the Ford TEAm, drinking Tea, in a T, raising money for chari-tea. Happy #NationalTeaDay!",2017-04-21T12:39:47Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1288606334558920/?type=3,3,9,1,0,0,0,0,2017-04-21T12:39:47Z,2017-04,135,1
8,184377348315163_1292195510866669,768,184e12,Ford UK,We're at the CV Show today showing Birmingham our Ford Transit and Ford Ranger.,2017-04-25T11:57:52Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1292195510866669/?type=3,73,88,14,4,9,0,0,2017-04-25T11:57:52Z,2017-04,795,27
9,184377348315163_1294000780686142,5236,184e12,Ford UK,It's official! <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> The #FordMustang was the top selling sports car on the planet for 2016.,2017-04-27T13:13:21Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1294000780686142/?type=3,304,456,426,13,66,0,0,2017-04-27T13:13:21Z,2017-04,5741,505
10,184377348315163_1294086684010885,46,184e12,Ford UK,"Completing your degree in September 2017? 

http://ford.to/2plW4f9",2017-04-27T15:15:22Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1294086684010885/?type=3,15,24,0,0,0,0,1,2017-04-27T15:15:22Z,2017-04,47,0
11,184377348315163_1294955953923958,108,184e12,Ford UK,A > B just got easier. Introducing Ford Pass: an app packed with solutions to get you around faster. Download now http://www.fordpass.co.uk,2017-04-28T14:42:59Z,video,https://www.facebook.com/forduk/videos/1294955953923958/,13,25,3,0,0,0,0,2017-04-28T14:42:59Z,2017-04,111,3
12,184377348315163_1301838669902353,566,184e12,Ford UK,All-New Ford Fiesta. Will it be you?,2017-05-05T06:26:39Z,video,https://www.facebook.com/forduk/videos/1301838669902353/,146,131,31,1,5,1,2,2017-05-05T06:26:39Z,2017-05,606,37
13,184377348315163_1304636986289188,53,184e12,Ford UK,Here's how our FIA WEC 6 Hours of Spa went down. It's going to be a tough race at 24 Heures du Mans next month...,2017-05-08T10:11:49Z,video,https://www.facebook.com/forduk/videos/1304636986289188/,4,8,6,0,0,0,0,2017-05-08T10:11:49Z,2017-05,59,6
14,184377348315163_1304725839613636,170,184e12,Ford UK,NA,2017-05-08T12:54:29Z,photo,https://www.facebook.com/forduk/photos/a.268010813285149.64718.184377348315163/1304725839613636/?type=3,38,17,5,1,0,1,3,2017-05-08T12:54:29Z,2017-05,180,6
15,184377348315163_10155141562478820,81,184e12,Ford UK,Turn up your volume!  Enjoy the Focus RS RX competing in FIA World Rallycross Championship driven by Ken Block and Andreas Bakkerud.,2017-05-09T16:36:01Z,video,https://www.facebook.com/forduk/videos/10155141562478820/,5,35,7,0,1,0,0,2017-05-09T16:36:01Z,2017-05,89,8
16,184377348315163_1308958239190396,1009,184e12,Ford UK,No words necessary.,2017-05-12T13:17:04Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1308957672523786/?type=3,83,197,117,0,49,1,0,2017-05-12T13:17:04Z,2017-05,1176,166
17,184377348315163_1309668615786025,730,184e12,Ford UK,NA,2017-05-13T07:58:23Z,video,https://www.facebook.com/drivetribe/videos/439273026452841/,95,0,81,1,37,0,0,2017-05-13T07:58:23Z,2017-05,849,119
18,184377348315163_1315812575171629,197,184e12,Ford UK,Moving just got mobile. Meet Ford Pass: The innovative new app that gets you around. Download at www.fordpass.co.uk,2017-05-19T13:59:46Z,video,https://www.facebook.com/forduk/videos/1315812575171629/,22,37,4,2,1,0,1,2017-05-19T13:59:46Z,2017-05,205,7
19,184377348315163_1322887984464088,60,184e12,Ford UK,NA,2017-05-26T14:54:59Z,video,https://www.facebook.com/forduk/videos/1322887984464088/,1,7,8,0,4,0,0,2017-05-26T14:54:59Z,2017-05,72,12
