col_id,id,likes_count,from_id,from_name,message,created_time,type,link,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count,datetime,month,like_Button,positive_reaction,like_button
1,187534694618036_1266383216733173,109,188e12,Nissan,"""The Micra name gets a major reinvention."" Read The Independent's review of the all-new #Nissan #Micra: http://ind.pn/2htImlf",2016-12-28T10:30:00Z,link,http://ind.pn/2htImlf,32,58,3,0,0,0,3,2016-12-28T10:30:00Z,2016-12,115,3,115
2,187534694618036_1270633006308194,62,188e12,Nissan,"""The Micra is back."" carbuyer.co.uk's first drive reveals why the all-new #Micra is shaking up the competition:",2017-01-02T10:42:20Z,link,http://bit.ly/2hj1brK,22,23,5,0,0,0,1,2017-01-02T10:42:20Z,2017-01,68,5,68
3,187534694618036_1258875467483948,1505,188e12,Nissan,The multi-award-winning Nissan Qashqai: Discover the original urban crossover...,2017-01-03T09:47:26Z,video,https://www.facebook.com/NissanUK/videos/1258875467483948/,263,179,50,8,10,1,8,2017-01-03T09:47:26Z,2017-01,1582,68,1582
4,187534694618036_1277961185575376,36,188e12,Nissan,Missed our debut at CES 2017? Here are some great highlights of our time at the world's biggest tech show. #IntelligentMobility,2017-01-09T12:03:29Z,video,https://www.facebook.com/NissanUK/videos/1277961185575376/,10,21,1,0,0,0,3,2017-01-09T12:03:29Z,2017-01,40,1,40
5,187534694618036_1289177474453747,58,188e12,Nissan,Watch what happened when Top Gear's Chris Harris on Cars took on the MY17 GT-R…,2017-01-19T14:34:35Z,link,http://bit.ly/2k4ztE8,11,16,4,0,0,0,1,2017-01-19T14:34:35Z,2017-01,63,4,63
6,187534694618036_1306007956104032,1092,188e12,Nissan,"The new Nissan GT-R is here. It’s time to embrace the myth, and create your own journey...",2017-02-02T12:38:29Z,video,https://www.facebook.com/NissanUK/videos/1306007956104032/,91,234,77,4,4,1,3,2017-02-02T12:38:29Z,2017-02,1181,85,1181
7,187534694618036_1315484675156360,157,188e12,Nissan,Have you seen the all-new Nissan Micra? What colour combo matches your style?,2017-02-08T11:05:14Z,photo,https://www.facebook.com/NissanUK/photos/a.215289255175913.50705.187534694618036/1315484345156393/?type=3,31,108,6,0,0,0,1,2017-02-08T11:05:14Z,2017-02,164,6,164
8,187534694618036_1317798718258289,76,188e12,Nissan,"Looking for an ""affordable, high-quality supermini?"" Read Auto Trader UK's first drive of the all-new Nissan Micra...",2017-02-10T10:09:21Z,link,http://bit.ly/2kicZMF,15,49,5,0,0,0,2,2017-02-10T10:09:21Z,2017-02,83,5,83
9,187534694618036_1321849561186538,11,188e12,Nissan,Take a look at these exciting goals from the UEFA Champions League group stage. Which one was your favourite? Stay tuned - new #GoalOfTheWeek coming soon...,2017-02-13T12:00:07Z,video,https://www.facebook.com/NissanUK/videos/1321849561186538/,1,3,0,0,0,0,1,2017-02-13T12:00:07Z,2017-02,12,0,12
10,187534694618036_1322932924411535,259,188e12,Nissan,Happy Valentine's Day everyone! Who's the special someone in your life? Photo credit: Louis Karsenbarg,2017-02-14T11:03:53Z,photo,https://www.facebook.com/NissanUK/photos/a.215289255175913.50705.187534694618036/1322932924411535/?type=3,39,23,17,15,1,0,0,2017-02-14T11:03:53Z,2017-02,292,33,292
11,187534694618036_1325390587499102,168,188e12,Nissan,"The all-new Micra: Built with Mike and Edd from Wheeler Dealers, live on Facebook today",2017-02-16T10:04:51Z,video,https://www.facebook.com/NissanUK/videos/1325390587499102/,21,32,3,1,1,0,0,2017-02-16T10:04:51Z,2017-02,173,5,173
12,187534694618036_1325414750830019,564,188e12,Nissan,"Help Mike and Edd from Wheeler Dealers create their new Micra live from the factory! Write #Black, #Grey or #Silver in the comments to vote for the body colour",2017-02-16T12:30:08Z,video,https://www.facebook.com/NissanUK/videos/1325414750830019/,2759,115,69,81,15,3,7,2017-02-16T12:30:08Z,2017-02,739,165,739
13,187534694618036_1325601717477989,171,188e12,Nissan,Second Step! Now choose the interior trim colour of the Nissan Micra with Mike and Edd from Wheeler Dealers. Vote with #Orange #Blue or #Red in the comments,2017-02-16T14:30:00Z,video,https://www.facebook.com/NissanUK/videos/1325601717477989/,619,38,18,14,5,3,3,2017-02-16T14:30:00Z,2017-02,214,37,214
14,187534694618036_1325702437467917,267,188e12,Nissan,Let’s finish the style of our new Micra with the exterior trims! Choose between #Orange and #Chrome in the comments to make either Mike or Edd strip,2017-02-16T16:30:08Z,video,https://www.facebook.com/NissanUK/videos/1325702437467917/,743,50,32,16,4,2,0,2017-02-16T16:30:08Z,2017-02,321,52,321
15,187534694618036_1327150233989804,23,188e12,Nissan,"It's so good to see you back, Gareth Bale!",2017-02-18T16:44:02Z,video,https://www.facebook.com/NissanUK/videos/1327150233989804/,2,2,0,0,0,0,0,2017-02-18T16:44:02Z,2017-02,23,0,23
16,187534694618036_1330370860334408,32,188e12,Nissan,Which Hollywood actor is behind the wheel of our BladeGlider? We reveal the electrifying news tomorrow! #ElectrifyTheWorld #NissanElectric,2017-02-20T14:10:08Z,video,https://www.facebook.com/NissanUK/videos/1330370860334408/,7,14,1,0,0,0,0,2017-02-20T14:10:08Z,2017-02,33,1,33
17,187534694618036_1331436653561162,59,188e12,Nissan,"Meet our exciting new ambassador for Nissan Electric, Margot Robbie!
Watch what happened when she got behind the wheel of the BladeGlider...",2017-02-21T09:26:41Z,video,https://www.facebook.com/NissanUK/videos/1331436653561162/,9,35,3,0,1,0,0,2017-02-21T09:26:41Z,2017-02,63,4,63
18,187534694618036_1331541660217328,25,188e12,Nissan,“The awesome and affordable” Nissan 350Z. Car Throttle explain why it’s their pick...,2017-02-21T11:36:57Z,video,https://www.youtube.com/watch?v=ecdfU7xIzU4,14,3,0,0,0,0,1,2017-02-21T11:36:57Z,2017-02,26,0,26
19,187534694618036_1330631096975051,5755,188e12,Nissan,"With Gareth Bale fighting back from injury, Ana stepped in as substitute Nissan Ambassador",2017-02-22T12:23:24Z,video,https://www.facebook.com/NissanUK/videos/1330631096975051/,135,328,155,49,14,3,6,2017-02-22T12:23:24Z,2017-02,5982,218,5982
